STATE,YEAR_ST_CASE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER,FATALS,DRUNK_DR
48,2015480001,480001,2,0,2,37,0,1,1,2015,5,18,43,2,US-67,,33.41330833,-94.1359,12,6,8,1,0,1,2,2,1,0
48,2015480002,480002,1,0,1,99,0,1,1,2015,5,15,4,4,CR-LUTHERAN CHURCH RD,,31.17823056,-97.9381,41,0,1,1,0,4,1,2,1,1
48,2015480003,480003,1,0,1,113,1730,1,1,2015,5,3,5,1,I-20 LYNDON B. JOHNSON FWY,,32.67020278,-96.9421,30,0,1,1,0,3,3,2,1,1
48,2015480004,480004,1,0,2,141,2190,1,1,2015,5,1,19,1,I-10,,31.85618056,-106.575,1,0,20,1,0,1,3,1,1,1
48,2015480005,480005,2,1,3,141,2190,1,1,2015,5,18,27,8,LP 76/FM 76,,31.73853056,-106.362,14,0,1,1,0,2,3,1,1,0
48,2015480006,480006,1,0,1,157,3280,1,1,2015,5,18,20,6,HILLCROFT AVE,,29.60831944,-95.498,33,0,1,1,0,4,3,2,1,0
48,2015480007,480007,1,1,1,167,6860,1,1,2015,5,19,6,8,SL 197,,29.40803333,-94.94,8,0,1,1,0,1,2,10,1,0
48,2015480008,480008,1,0,4,209,0,1,1,2015,5,0,30,8,FM 621 STAPLES RD,,29.84215278,-97.913,59,0,1,1,0,4,2,10,1,1
48,2015480009,480009,1,0,2,339,0,1,1,2015,5,2,9,4,CR-ROCKY RD,,30.29596389,-95.3745,1,0,1,1,0,4,2,2,1,1
48,2015480010,480010,1,1,3,21,0,2,1,2015,6,19,30,3,SR-71,,30.16416667,-97.5079,8,0,1,1,0,1,2,2,1,0
48,2015480011,480011,1,0,1,29,6090,2,1,2015,6,2,29,6,COMMERCE ST,,29.42930833,-98.5395,24,0,1,1,0,4,3,2,1,1
48,2015480012,480012,1,0,1,135,0,2,1,2015,6,5,50,2,US-385,,32.06888889,-102.445,1,0,1,1,0,3,2,4,1,0
48,2015480013,480013,2,0,2,141,2190,2,1,2015,6,7,42,6,EDGEMERE,TIERRA NEVADA,31.7928,-106.256,1,0,8,1,0,1,1,10,1,0
48,2015480014,480014,2,0,2,185,0,2,1,2015,6,8,23,3,SR-105,,30.35316944,-95.9956,12,8,1,1,0,1,1,2,1,0
48,2015480015,480015,1,0,2,321,0,2,1,2015,6,13,17,4,CR-HAWKINS RD,,28.82216111,-95.6836,1,0,1,1,0,1,1,2,1,1
48,2015480016,480016,1,0,1,471,0,2,1,2015,6,17,5,8,FM 230,,30.948375,-95.5498,42,0,1,1,0,4,1,2,1,0
48,2015480017,480017,2,0,6,495,0,2,1,2015,6,12,50,3,SR-302,,31.89118611,-102.865,12,6,1,1,0,1,1,3,1,0
48,2015480018,480018,1,0,1,29,6090,3,1,2015,7,7,26,6,BABCOCK RD,,29.52986667,-98.6031,33,0,1,1,0,4,3,2,1,0
48,2015480019,480019,1,1,2,113,1730,3,1,2015,7,22,28,1,I-10 TOM LANDRY FWY RAMP,,32.76737778,-96.8777,8,0,20,1,1,1,3,1,1,0
48,2015480020,480020,2,0,4,141,0,3,1,2015,7,22,2,1,I-10,,31.68158056,-106.262,52,0,1,1,0,3,3,1,1,1
48,2015480021,480021,1,1,1,201,3280,3,1,2015,7,18,42,6,MAIN ST,,29.78247222,-95.3646,8,0,1,1,0,1,3,1,1,0
48,2015480022,480022,2,0,8,205,0,3,1,2015,7,11,9,2,US-54,,35.94930833,-102.666,12,6,1,1,0,1,1,4,3,0
48,2015480023,480023,1,2,1,215,0,3,1,2015,7,21,10,4,CR-MINNESOTA RD,,26.22729444,-98.0629,9,0,1,1,0,1,2,1,1,0
48,2015480024,480024,1,1,1,29,6090,4,1,2015,1,2,2,5,DOLLARHIDE AVE,,29.37485556,-98.4413,9,0,1,1,0,1,2,1,1,0
48,2015480025,480025,1,0,1,201,0,4,1,2015,1,0,40,8,FM 2100 CROSBY HUFFMAN RD,,30.05462222,-95.0868,34,0,1,1,0,4,2,10,1,1
48,2015480026,480026,1,0,1,339,0,4,1,2015,1,2,30,4,CR-MAGNOLIA HILLS DR,,30.25310556,-95.7101,38,0,1,1,0,5,2,1,1,1
48,2015480027,480027,2,0,3,449,0,4,1,2015,1,23,15,3,SR-49,CR-4840,33.11732222,-94.8697,12,7,2,3,0,1,2,1,1,1
48,2015480028,480028,1,0,1,133,0,5,1,2015,2,16,15,3,SR-206,,32.30768889,-99.0093,38,0,1,1,0,5,1,1,1,1
48,2015480029,480029,1,0,3,165,0,5,1,2015,2,18,13,8,FM2055,,32.91488611,-102.904,1,0,1,1,0,4,2,1,1,1
48,2015480030,480030,3,0,3,201,0,5,1,2015,2,18,45,3,SR-8 SAM HOUSTON PKWY,,29.88390278,-95.549,12,1,1,1,0,1,3,10,1,0
48,2015480031,480031,2,0,2,201,3280,5,1,2015,2,21,27,1,I-45,,29.74085833,-95.3559,12,1,1,1,0,1,2,1,1,0
48,2015480032,480032,1,3,1,303,0,5,1,2015,2,18,30,4,CR-FLINT AVE,,33.43837222,-101.881,8,0,1,1,0,1,2,1,1,0
48,2015480033,480033,1,1,1,303,4140,5,1,2015,2,7,8,6,SLIDE RD,40TH ST,33.55785278,-101.923,8,0,3,2,0,1,2,1,1,0
48,2015480034,480034,2,0,2,357,0,5,1,2015,2,7,0,2,US-83,SR-70/MAIN ST,36.30373056,-100.802,12,6,2,3,0,1,1,1,1,0
48,2015480035,480035,1,0,1,423,0,5,1,2015,2,22,35,2,US-271,FM 2908,32.4337,-95.1698,24,0,3,3,0,4,3,1,1,1
48,2015480036,480036,1,0,1,5,0,6,1,2015,3,18,50,2,US-59,,31.41711944,-94.7219,32,0,1,1,1,4,2,1,1,1
48,2015480037,480037,1,0,2,241,0,6,1,2015,3,8,22,2,US-96,,30.59,-93.917,53,0,1,1,0,4,1,1,1,0
48,2015480038,480038,4,0,7,255,0,6,1,2015,3,6,50,3,SR-80,CR-266,29.10866111,-97.7844,12,1,3,2,0,1,2,1,1,0
48,2015480039,480039,2,0,3,453,330,6,1,2015,3,17,4,8,SP 69/KOENIG LN,,30.32055,-97.7159,12,2,1,1,0,1,3,1,1,1
48,2015480040,480040,2,0,2,29,0,7,1,2015,4,18,10,8,SL 1604,,29.40558889,-98.2477,12,2,1,1,0,1,2,1,1,0
48,2015480041,480041,1,0,3,39,0,7,1,2015,4,13,50,4,CR-OLD CHOCOLATE BAYOU RD,,29.519475,-95.3471,43,0,1,1,0,4,1,1,3,0
48,2015480042,480042,2,0,7,113,1730,7,1,2015,4,12,13,6,ELAM RD,MASTERS DR,32.71943056,-96.6485,12,6,2,2,0,1,1,1,1,0
48,2015480044,480044,1,0,1,491,5990,7,1,2015,4,20,43,1,I-35,,30.47167222,-97.6713,24,0,1,1,0,4,3,1,1,0
