STATE,YEAR_ST_CASE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER,FATALS,DRUNK_DR
48,2014480001,480001,2,1,2,29,6090,1,1,2014,4,4,22,8,FM-1604,,29.58704444,-98.6304,12,1,1,1,0,1,2,1,1,0
48,2014480002,480002,1,0,1,113,1730,1,1,2014,4,0,20,8,SL 12,PALODURO LN,32.68372222,-96.8144,42,0,3,3,0,4,3,1,1,1
48,2014480003,480003,2,0,4,113,2590,1,1,2014,4,15,11,5,SHILOH RD,CLEARSPRINGS PKWY,32.97686389,-96.6653,12,6,8,1,0,1,1,1,2,0
48,2014480004,480004,1,0,1,157,0,1,1,2014,4,3,39,4,CR-BLUESTONE CANYON DR,PALMDALE ESTATES DR,29.68826667,-95.8248,3,0,3,3,0,4,3,10,1,1
48,2014480005,480005,1,0,1,177,0,1,1,2014,4,4,0,8,FM 443,,29.38846111,-97.2847,43,0,1,1,0,4,2,1,1,0
48,2014480006,480006,2,0,4,201,3280,1,1,2014,4,1,0,5,PIERCE ST,MILAM ST,29.75052222,-95.3726,12,6,2,2,0,1,3,1,1,1
48,2014480007,480007,1,1,5,201,3280,1,1,2014,4,2,25,8,FM 1093,,29.73770556,-95.4926,8,0,1,1,0,1,3,1,1,0
48,2014480008,480008,1,0,1,201,3280,1,1,2014,4,1,40,5,WESTPARK TOLLWAY,,29.71057778,-95.6486,25,0,1,1,0,3,3,1,1,0
48,2014480009,480009,1,0,1,221,0,1,1,2014,4,4,14,8,FM 167,,32.42212222,-97.6708,42,0,1,1,0,4,2,1,1,1
48,2014480010,480010,2,0,2,231,0,1,1,2014,4,8,14,3,SR-34,,32.85668056,-96.1493,12,6,1,1,0,1,1,1,1,0
48,2014480011,480011,1,0,1,253,0,1,1,2014,4,14,36,3,SR-6,,32.86211111,-99.7078,39,0,1,1,0,5,9,1,1,0
48,2014480012,480012,2,0,2,279,0,1,1,2014,4,12,15,4,CR-155,CR-212,34.04196944,-102.407,12,6,2,2,0,1,1,1,1,0
48,2014480013,480013,2,0,2,371,0,1,1,2014,4,5,35,2,US-285,,31.08046944,-103.197,12,2,1,1,0,1,2,1,1,0
48,2014480014,480014,1,0,1,449,0,1,1,2014,4,21,35,8,FM 1735,,33.13268056,-94.9089,42,0,1,1,1,5,2,1,1,1
