STATE,YEAR_ST_CASE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER,FATALS,DRUNK_DR
48,2017480001,480001,1,0,1,277,276,2,2,2017,5,7,45,2,US-271,,33.86404167,-95.5071,42,0,1,1,0,4,1,10,1,0
48,2017480002,480002,1,0,1,113,1730,1,1,2017,1,7,15,2,US-67 MARVIN D LOVE FWY,,32.69296111,-96.8458,1,0,5,1,0,8,3,2,1,0
48,2017480003,480003,2,0,3,145,0,1,1,2017,1,20,10,1,I-35,,31.27211667,-97.2657,14,0,1,1,1,2,2,1,1,0
48,2017480004,480004,1,0,1,201,3280,1,1,2017,1,5,42,6,GULF BANK RD,,29.88959444,-95.4181,33,0,1,1,0,3,3,1,1,1
48,2017480005,480005,1,0,2,213,0,1,1,2017,1,22,30,8,FM 314,,32.19395278,-95.5675,11,0,1,1,0,1,2,1,1,1
48,2017480006,480006,1,0,1,251,0,1,1,2017,1,0,58,4,CR-615,,32.474725,-97.1503,38,0,1,1,0,5,2,1,1,1
48,2017480007,480007,2,0,8,273,0,1,1,2017,1,12,45,3,SR-285,,27.25771111,-97.9076,12,2,1,1,0,1,1,1,1,0
48,2017480008,480008,1,0,1,315,0,1,1,2017,1,11,45,8,FM 729,,32.84268889,-94.6289,59,0,1,1,0,4,1,5,1,1
48,2017480009,480009,1,0,2,335,0,1,1,2017,1,8,47,4,CR-206,,32.4417,-100.949,24,0,1,1,0,4,2,1,1,1
48,2017480010,480010,1,0,1,395,0,1,1,2017,1,9,6,3,SR-6,,31.01470556,-96.7048,32,0,1,1,0,3,1,1,1,0
48,2017480011,480011,1,0,1,427,0,1,1,2017,1,6,41,4,CR-EMBASSY ST,,26.395775,-98.7682,38,0,1,1,0,5,4,10,1,1
48,2017480012,480012,2,0,4,21,0,2,1,2017,2,12,45,4,CR-POPE BEND,,30.158675,-97.4643,53,0,1,1,0,4,1,1,1,0
48,2017480013,480013,1,1,1,29,6090,2,1,2017,2,18,50,6,GUADALUPE ST,,29.41971944,-98.5291,8,0,1,1,0,1,3,1,1,0
